model,MAE,RMSE,MAPE_%,WAPE_%
SARIMAX,77.5231884903378,118.27143481582083,7.41958491825796,5.364372698354367
LSTM,80.07583692902996,122.541929725221,7.491804346098639,5.541008332926129
TCN,78.5413169809945,119.53206097664201,7.712899721807323,5.4348241437225635
Persistence,92.80191565277778,134.87773699064223,9.194349007547846,6.421614904871886
Seasonal naive (1 week),300.7502262886905,432.9547313414332,28.968924922056594,20.81101583080563
