model,residual,seed,val_MAE,val_RMSE,val_MAPE_%,val_WAPE_%,epochs,train_s
LSTM,False,42,122.59230211877053,188.45961735240726,8.763628244713733,7.2241837976205385,28,15.241580956999996
LSTM,False,7,110.75450666517007,174.5133293999796,8.127616268579233,6.5265999474323415,18,8.507815354000002
LSTM,False,123,114.67343884905726,173.95694936488835,8.691567569448127,6.757536848832424,16,6.228011770000023
LSTM,True,42,95.2178275658202,147.13687378069852,7.29324829430999,5.611046332086966,33,13.894127272999981
LSTM,True,7,96.17008157139479,146.9898712696971,7.338869908642051,5.667161258060266,40,17.881833616999984
LSTM,True,123,99.33605480312346,153.6449491132564,7.23920267968527,5.853727397443112,33,13.831151140999964
TCN,False,42,133.03649886698605,209.23374299502805,9.72735337581743,7.839644928732351,21,59.44104992199999
TCN,False,7,310.3186698352047,454.09205069004815,16.57248696820478,18.286622144926614,41,49.866104552000024
TCN,False,123,200.29426019852454,302.868410095268,11.22313543198313,11.803045740023048,59,65.49112263499995
TCN,True,42,98.81569296727899,155.7074668622629,7.3234633778159335,5.823063240897902,25,38.89622952399998
TCN,True,7,104.58169911047581,160.49858207328572,7.5746966256005495,6.16284549016431,29,45.136255936
TCN,True,123,97.71045708156095,152.16652052561224,7.3362836829397855,5.757933318054806,35,46.66956950500003
