,MAE,RMSE,MAPE_%,WAPE_%
SARIMAX,13.843302658626845,18.96475069633131,6.008087309205964,5.701068961897978
LSTM,15.451926417945305,21.490186087103503,6.562801320472909,6.363546349828742
TCN,15.19928162001552,20.72903730267319,6.603738534685209,6.259499977992402
Persistence,15.95248300595238,21.544432171487532,6.982253109569228,6.569689905158895
Seasonal naive (1 week),73.40750503670634,97.38168079080204,27.95726066214243,30.231315377211313
