,train_s,train_s,epochs,epochs,n_params,n_params,infer_total_s,infer_total_s,infer_ms_per_step,infer_ms_per_step
,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,
LSTM,14.880341471333281,4.754708533728244,36.0,12.767145334803704,69249.0,0.0,0.08349535199999987,0.03357491076428705,0.08283269047619037,0.03330844321853874
SARIMAX,89.00639602433334,0.8532607611379923,,,24.0,0.0,0.1270624946666506,0.050269105152303296,0.12605406216929618,0.04987014400030091
TCN,47.83759213533332,9.182288272608007,36.333333333333336,11.060440015358038,37505.0,0.0,0.10499587433332634,0.0236570438497197,0.1041625737433793,0.023469289533452068
