,train_s,train_s,epochs,epochs,n_params,n_params,infer_total_s,infer_total_s,infer_ms_per_step,infer_ms_per_step
,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,
LSTM,12.68792498833333,3.2397805299196207,28.666666666666668,9.018499505645789,69249.0,0.0,0.09058226033327323,0.029482904468912684,0.08986335350523138,0.029248913163603812
SARIMAX,96.56393907533334,2.1317337314285307,,,24.0,0.0,0.13257224166666973,0.04471897073304237,0.13152008101852156,0.04436405826690719
TCN,39.75408313566671,6.940810918323684,25.0,7.810249675906654,37505.0,0.0,0.09532580700003257,0.004489861240704473,0.0945692529762228,0.004454227421333816
