square,model,train_s,epochs,best_epoch,n_params,infer_total_s,infer_ms_per_step
5161,SARIMAX,95.97924294999984,,,24,0.104197054999986,0.1033700942460178
5161,LSTM,13.225390823999987,28.0,22.0,69249,0.0769703460000528,0.0763594702381476
5161,TCN,37.22837169900004,21.0,15.0,37505,0.0904517630001464,0.0897338918652246
5059,SARIMAX,98.92700839700024,,,24,0.1093977830000767,0.1085295466270602
5059,LSTM,9.213022121999984,20.0,14.0,69249,0.0703645519997735,0.0698061031743785
5059,TCN,34.42979664299992,20.0,14.0,37505,0.0992930659999729,0.0985050257936239
5259,SARIMAX,94.78556587899993,,,24,0.18412188699994658,0.1826606021824867
5259,LSTM,15.625362019000022,38.0,32.0,69249,0.1244118829999934,0.12342448710316806
5259,TCN,47.60408106500017,34.0,28.0,37505,0.09623259199997847,0.0954688412698199
